表記	正規化表記	品詞	読み	シリーズ	辞書種別
星宮いちご	星宮いちご	人名	ほしみやいちご	aikatsu	character
星宮いちご	星宮いちご	人名	いちご	aikatsu	character
星宮いちご	星宮いちご	人名	すたーみや	aikatsu	character
スター宮	スター宮	人名	すたーみや	aikatsu	character
スター宮	スター宮	人名	ほしみやいちご	aikatsu	character
霧矢あおい	霧矢あおい	人名	きりやあおい	aikatsu	character
霧矢あおい	霧矢あおい	人名	あおい	aikatsu	character
霧矢あおい	霧矢あおい	人名	あおいねえさん	aikatsu	character
霧矢あおい	霧矢あおい	人名	あいどるはかせ	aikatsu	character
あおい姐さん	あおい姐さん	人名	あおいねえさん	aikatsu	character
あおい姉さん	あおい姐さん	人名	あおいねえさん	aikatsu	character
アイドル博士	アイドル博士	人名	あいどるはかせ	aikatsu	character
アイドル博士	アイドル博士	人名	きりやあおい	aikatsu	character
アイドル博士	アイドル博士	人名	あおい	aikatsu	character
紫吹蘭	紫吹蘭	人名	しぶきらん	aikatsu	character
紫吹蘭	紫吹蘭	人名	らん	aikatsu	character
紫吹蘭	紫吹蘭	人名	うつくしきやいば	aikatsu	character
蘭	蘭	人名	らん	aikatsu	character
美しき刃	美しき刃	人名	うつくしきやいば	aikatsu	character
美しき刃	美しき刃	人名	しぶきらん	aikatsu	character
美しき刃	美しき刃	人名	らん	aikatsu	character
有栖川おとめ	有栖川おとめ	人名	ありすがわおとめ	aikatsu	character
有栖川おとめ	有栖川おとめ	人名	おとめ	aikatsu	character
藤堂ユリカ	藤堂ユリカ	人名	とうどうゆりか	aikatsu	character
藤堂ユリカ	藤堂ユリカ	人名	ゆりか	aikatsu	character
藤堂ユリカ	藤堂ユリカ	人名	ゆりかさま	aikatsu	character
ユリカ	ユリカ	人名	ゆりか	aikatsu	character
ユリカさま	ユリカさま	人名	ゆりかさま	aikatsu	character
北大路さくら	北大路さくら	人名	きたおうじさくら	aikatsu	character
北大路さくら	北大路さくら	人名	さくら	aikatsu	character
一ノ瀬かえで	一ノ瀬かえで	人名	いちのせかえで	aikatsu	character
一ノ瀬かえで	一ノ瀬かえで	人名	かえで	aikatsu	character
神谷しおん	神谷しおん	人名	かみやしおん	aikatsu	character
神谷しおん	神谷しおん	人名	しおん	aikatsu	character
七つの顔を持つ女優	七つの顔を持つ女優	人名	かみやしおん	aikatsu	character
三ノ輪ヒカリ	三ノ輪ヒカリ	人名	みのわひかり	aikatsu	character
